次のうち、ゴッホの生前に売れた唯一の作品はどれでしょう？,赤い葡萄畑,医師ガシェの肖像,アルルの跳ね橋,夜のカフェテラス,芸術
ミュージカル「ウエストサイド・ストーリー」などで作曲家としても活躍した、アメリカの指揮者は誰でしょう？,レナード・バーンスタイン,リチャード・ロジャース,フォン・カラヤン,ゲオルク・ショルティ,芸術
次のうち、ベルリン・フィルハーモニー管弦楽団の常任指揮者を務めた人物で、幅広いレパートリーと巧みな指揮法で世界的に活躍したオーストリアの指揮者は誰でしょう？,フォン・カラヤン,レナード・バーンスタイン,リチャード・ロジャース,ゲオルク・ショルティ,芸術
ベートーヴェンの交響曲のうち、「英雄」と呼ばれるのは何番でしょう？,交響曲第3番,交響曲第9番,交響曲第5番,交響曲第6番,芸術
ベートーヴェンの交響曲のうち、「運命」と呼ばれるのは何番でしょう？,交響曲第5番,交響曲第3番,交響曲第9番,交響曲第6番,芸術
ベートーヴェンの交響曲のうち、「田園」と呼ばれるのは何番でしょう？,交響曲第6番,交響曲第3番,交響曲第9番,交響曲第5番,芸術
メンデルスゾーンの交響曲のうち、「賛歌」と呼ばれるのは何番でしょう？,交響曲第2番,交響曲第3番,交響曲第4番,交響曲第5番,芸術
メンデルスゾーンの交響曲のうち、「スコットランド」と呼ばれるのは何番でしょう？,交響曲第3番,交響曲第2番,交響曲第4番,交響曲第5番,芸術
メンデルスゾーンの交響曲のうち、「イタリア」と呼ばれるのは何番でしょう？,交響曲第4番,交響曲第2番,交響曲第3番,交響曲第5番,芸術
メンデルスゾーンの交響曲のうち、「宗教改革」と呼ばれるのは何番でしょう？,交響曲第5番,交響曲第2番,交響曲第3番,交響曲第4番,芸術
ミケランジェロの彫刻「ダビデ像」の瞳の形は、次のうちどれでしょう？,ハート形,星形,ダイヤ型,スペード型,芸術
ゴッホの「ひまわり」は何枚描かれたでしょう？,7枚,5枚,4枚,3枚,芸術
世界三大ミュージカルといわれる作品は「レ・ミゼラブル」、「オペラ座の怪人」とどれでしょう？,キャッツ,ミス・サイゴン,ウィキッド,シカゴ,芸術
プッチーニのオペラ「蝶々夫人」の舞台となった国は次のうちどれでしょう？,日本,中国,イタリア,フランス,芸術
プッチーニのオペラ「トゥーランドット」の舞台となった国は次のうちどれでしょう？,中国,日本,イタリア,フランス,芸術
国歌として採用されている曲のうち、作曲されたのが最も古いとされる「ヴィルヘルムス」はどの国の国歌でしょう？,オランダ,ドイツ,オーストリア,ベルギー,芸術
国歌として採用されている曲のうち、公式採用されたのが最も古い「国王行進曲」はどの国の国歌でしょう？,スペイン,スウェーデン,デンマーク,ノルウェー,芸術
第1次世界大戦で右手を失ったウィトゲンシュタインの依頼を受けて『左手のためのピアノ協奏曲』を作曲した人物は誰でしょう？,ラヴェル,リスト,ガーシュウィン,サン・サーンス,芸術
オーケストラをとりまとめるコンサートマスターが演奏する楽器は何でしょう？,ヴァイオリン,ピアノ,コントラバス,フルート,芸術
現存するオーケストラの中で1448年創立と最も古い歴史をもつのはどれでしょう？,デンマーク王立管弦楽団,ライプツィヒ・ゲヴァントハウス管弦楽団,ミュンヘン・フィルハーモニー管弦楽団,ウィーン・フィルハーモニー管弦楽団,芸術
日本語で「円舞曲」といえばどんな曲のことでしょう？,ワルツ,ロンド,エチュード,カンタータ,芸術
日本語で「練習曲」といえばどんな曲のことでしょう？,エチュード,プレリュード,カンタータ,ソナタ,芸術
日本語で「交響曲」といえばどんな曲のことでしょう？,シンフォニー,コンチェルト,ラプソディー,フーガ,芸術
日本語で「協奏曲」といえばどんな曲のことでしょう？,コンチェルト,シンフォニー,ラプソディー,プレリュード,芸術
日本語で「狂詩曲」といえばどんな曲のことでしょう？,ラプソディー,ディヴェルティメント,ロンド,ソナタ,芸術
日本語で「鎮魂歌」といえばどんな曲のことでしょう？,レクイエム,ノクターン,ロンド,フーガ,芸術
日本語で「喜遊曲」といえばどんな曲のことでしょう？,ディヴェルティメント,ラプソディー,カプリッチョ,カンタータ,芸術
日本語で「奇想曲」といえばどんな曲のことでしょう？,カプリッチョ,ラプソディー,ディヴェルティメント,カンタータ,芸術
日本語で「交声曲」といえばどんな曲のことでしょう？,カンタータ,カプリッチョ,ソナタ,フーガ,芸術
日本語で「遁走曲」といえばどんな曲のことでしょう？,フーガ,ディヴェルティメント,カンタータ,ソナタ,芸術
日本語で「夜想曲」といえばどんな曲のことでしょう？,ノクターン,レクイエム,ディヴェルティメント,ソナタ,芸術
日本語で「前奏曲」といえばどんな曲のことでしょう？,プレリュード,エチュード,ワルツ,カンタータ,芸術
日本語で「奏鳴曲」といえばどんな曲のことでしょう？,ソナタ,コンチェルト,シンフォニー,ラプソディー,芸術
日本語で「輪舞曲」といえばどんな曲のことでしょう？,ロンド,ワルツ,フーガ,ノクターン,芸術
ベートーベンが手がけた唯一のオペラ作品はどれでしょう？,フィデリオ,ゲノフェーファ,カルメン,椿姫,芸術
ロベルト・シューマンが手がけた唯一のオペラ作品はどれでしょう？,ゲノフェーファ,フィデリオ,カルメン,椿姫,芸術
ベートーベンが生まれた都市はどこでしょう？,ボン,ベルリン,ハンブルク,ミュンヘン,芸術
ブラームスが生まれた都市はどこでしょう？,ハンブルク,ボン,ベルリン,ミュンヘン,芸術
『官僚的なソナチネ』『犬のためのぶよぶよとした前奏曲』『冷たい小品』『梨の形をした3つの小品』『胎児の干物』『裸の子供たち』といった作品に奇妙な題名をつけたことでも知られる音楽家は誰でしょう？,サティ,ラヴェル,リスト,モーツァルト,芸術
